source_id,source_name,source_status,source_provenance,year,reserved_capacity_t_per_year,active_fraction,requested_order_t,feasible_order_t,unfulfilled_request_t,planned_delivery_t,gross_delivery_t,risk_underdelivery_t,delayed_delivery_t,initial_stock_requested_t,initial_stock_feasible_t,initial_stock_gross_delivery_t,initial_stock_losses_t,initial_stock_opening_inventory_t,payable_volume_t,utilization,active_variable_price_mln_per_t,ordered_payment_mln,take_or_pay_extra_volume_t,take_or_pay_price_mln_per_t,procurement_cost_mln,reservation_cost_mln,take_or_pay_effect_mln,initial_stock_procurement_cost_mln,initial_stock_reservation_cost_mln,reliability_profile,reliability_semantics,violations
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,160.7004048583996,1.0,160.7004048582996,160.7004048582996,0.0,0,0,0.0,0,57.900021516172984,57.900021516172984,57.900021516172984,2.6055009682277843,55.2945205479452,218.6004263744726,0.0,6.2,996.3425101214576,0.0,6.2,1355.3226435217302,98.37019186855765,0.0,358.9801334002725,26.055009682277845,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,190.0,1.0,190.0,190.0,0.0,160.7004048582996,160.7004048582996,0.0,0,0.0,0.0,0.0,0.0,0.0,190.0,0.8457916045173663,6.200000000000001,1178.0000000000002,0.0,6.2,1178.0000000000002,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,190.0,1.0,189.99999999999997,189.99999999999997,0.0,190.0,190.0,0.0,0,0.0,0.0,0.0,0.0,0.0,189.99999999999997,1.0,6.200000000000001,1178.0,0.0,6.2,1178.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,190.0,1.0,190.0,190.0,0.0,189.99999999999997,189.99999999999997,0.0,0,0.0,0.0,0.0,0.0,0.0,190.0,0.9999999999999999,7.75,1472.5,0.0,7.75,1472.5,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,128.2500000001,1.0,128.25,128.25,0.0,190.0,190.0,0.0,0,0.0,0.0,0.0,0.0,0.0,128.25,1.0,7.750000000000001,993.9375000000001,0.0,7.75,993.9375000000001,57.712500000045,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,0,1.0,0,0.0,0.0,128.25,128.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,6.2,0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,69.80802792331117,1.0,69.80802792321117,69.80802792321117,0.0,69.80802792321117,69.80802792321117,0.0,0,0.0,0.0,0.0,0.0,0.0,69.80802792321117,0.6346184356655561,8.9,621.2914485165794,0.0,8.9,621.2914485165794,10.471204188496676,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,0,1.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,0,1.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,0,1.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.125,0,0.0,11.125,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
