value,run_id,valid,total_demand_t,critical_demand_t,total_cost_mln,discounted_cost_mln,total_service_level,critical_service_level,total_shortage_t,critical_shortage_t,minimum_inventory_t,final_inventory_t,hard_violation_count,violations
1.0,run-f89f5dac925fd0cd,True,1390.0,950.0,10609.051509873529,9678.56148367706,1.0,1.0,0.0,0.0,9.915525114155358,9.915525114155358,0,[]
1.01,run-e8ff6a4cf92d1048,False,1403.9,950.0,10586.527044120103,9659.772613751717,0.9971618527773739,1.0,3.984474885844566,0.0,0.0,0.0,1,"[{""actual"": 36.710831852416085, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 8.289168147583915, ""human_message"": ""Reserve equivalence is 36.711 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.02,run-7ec130b8910b4f87,False,1417.8,950.0,10564.866681106403,9641.660790933467,0.9873857561815174,1.0,17.884474885844654,0.0,0.0,0.0,3,"[{""actual"": 40.276950571895476, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 4.723049428104524, ""human_message"": ""Reserve equivalence is 40.277 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9550415412623313, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.014958458737668656, ""human_message"": ""Total service is 95.50%; shortage is 17.884 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 27.175456678397904, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 17.824543321602096, ""human_message"": ""Reserve equivalence is 27.175 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.03,run-4837735f5c5953e3,False,1431.7,950.0,10544.781858092705,9624.783444931536,0.9777994867040269,1.0,31.784474885844645,0.0,0.0,0.0,3,"[{""actual"": 32.355572411003386, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 12.644427588996614, ""human_message"": ""Reserve equivalence is 32.356 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9208750936374294, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.04912490636257061, ""human_message"": ""Total service is 92.09%; shortage is 31.784 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 17.82523442038016, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 27.17476557961984, ""human_message"": ""Reserve equivalence is 17.825 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.04,run-13cc009a678c4770,False,1445.6,950.0,10527.04288055846,9609.744130245246,0.9683975685626421,1.0,45.68447488584464,0.0,0.0,0.0,3,"[{""actual"": 24.586528445513018, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 20.413471554486982, ""human_message"": ""Reserve equivalence is 24.587 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8873656930822372, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.08263430691776275, ""human_message"": ""Total service is 88.74%; shortage is 45.684 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 8.654824128862735, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 36.345175871137265, ""human_message"": ""Reserve equivalence is 8.655 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.05,run-5f8b0299e45ebd3b,False,1459.5,950.0,10512.390726037911,9597.123871680069,0.9591747345763312,1.0,59.58447488584473,0.0,0.0,0.0,4,"[{""actual"": 39.09674920634928, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 5.90325079365072, ""human_message"": ""Reserve equivalence is 39.097 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 16.965466269841293, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 28.034533730158707, ""human_message"": ""Reserve equivalence is 16.965 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8554285714285714, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.11457142857142855, ""human_message"": ""Total service is 85.54%; shortage is 59.202 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.06,run-2ce67ca2ddebb972,False,1473.4,950.0,10500.372416996815,9586.646052836195,0.950125916325611,1.0,73.48447488584478,0.0,0.0,0.0,5,"[{""actual"": 32.80527044025161, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 12.194729559748389, ""human_message"": ""Reserve equivalence is 32.805 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9693912886620142, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.00060871133798579, ""human_message"": ""Total service is 96.94%; shortage is 10.382 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2039"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 9.488197720125829, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 35.511802279874175, ""human_message"": ""Reserve equivalence is 9.488 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8473584905660376, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.12264150943396235, ""human_message"": ""Total service is 84.74%; shortage is 63.102 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.07,run-8a52dd51c06b14b7,False,1487.3,950.0,10490.980210969417,9578.328735440751,0.9412462348646239,1.0,87.38447488584475,0.0,0.0,0.0,5,"[{""actual"": 26.631389408099707, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 18.368610591900293, ""human_message"": ""Reserve equivalence is 26.631 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9404717439081635, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.029528256091836513, ""human_message"": ""Total service is 94.05%; shortage is 20.382 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2039"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 2.150691199376947, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 42.84930880062305, ""human_message"": ""Reserve equivalence is 2.151 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8394392523364487, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.1305607476635513, ""human_message"": ""Total service is 83.94%; shortage is 67.002 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.08,run-4451dc06ba44fc5b,False,1501.2,950.0,10483.33600494202,9571.46667058855,0.9325309919492109,1.0,101.28447488584476,0.0,0.0,0.0,5,"[{""actual"": 20.571839506172868, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 24.428160493827132, ""human_message"": ""Reserve equivalence is 20.572 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9259259259259258, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.044074074074074154, ""human_message"": ""Total service is 92.59%; shortage is 25.600 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2039"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8316666666666666, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.13833333333333342, ""human_message"": ""Total service is 83.17%; shortage is 70.902 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.09,run-bab18bd98ed5044f,False,1515.1000000000001,950.0,10477.081298914623,9565.8020460103,0.9239756617478418,1.0,115.18447488584482,0.0,0.0,0.0,6,"[{""actual"": 0.9574955050060743, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.012504494993925697, ""human_message"": ""Total service is 95.75%; shortage is 11.582 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2038"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 14.623474006116188, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 30.37652599388381, ""human_message"": ""Reserve equivalence is 14.623 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9174311926605504, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.052568807339449575, ""human_message"": ""Total service is 91.74%; shortage is 28.800 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2039"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8240366972477063, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.14596330275229363, ""human_message"": ""Total service is 82.40%; shortage is 74.802 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
