value,run_id,valid,total_demand_t,critical_demand_t,total_cost_mln,discounted_cost_mln,total_service_level,critical_service_level,total_shortage_t,critical_shortage_t,minimum_inventory_t,final_inventory_t,hard_violation_count,violations
0.0,run-6f5c2f5e5d38a39e,True,1390.0,950.0,10609.051509873529,9678.56148367706,1.0,1.0,0.0,0.0,9.915525114155358,9.915525114155358,0,[]
1.0,run-cdfd335e083e0f94,False,1390.0,950.0,10603.654983293882,9673.729037229663,0.989752873165858,1.0,14.243506299457245,0.0,0.0,0.0,2,"[{""actual"": 0.9634781889757507, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.006521811024249313, ""human_message"": ""Total service is 96.35%; shortage is 14.244 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 33.798526155636175, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 11.201473844363825, ""human_message"": ""Reserve equivalence is 33.799 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
2.0,run-35fe05ed667629a5,False,1390.0,950.0,10600.467795859327,9670.661675628087,0.9723722750265685,0.9841376796002774,38.40253771306982,15.069204379736487,0.0,0.0,3,"[{""actual"": 0.939723182481054, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.05027681751894597, ""human_message"": ""Critical service is 93.97%; shortage is 15.069 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.9015319545818723, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.06846804541812768, ""human_message"": ""Total service is 90.15%; shortage is 38.403 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 34.000650601870554, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 10.999349398129446, ""human_message"": ""Reserve equivalence is 34.001 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
3.0,run-db035bfcdda636f6,False,1390.0,950.0,10597.267650309588,9667.599830107289,0.9624269286858401,0.9695860675859483,52.22656912668234,28.893235793349007,0.0,0.0,4,"[{""actual"": 33.020833333333364, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 11.979166666666636, ""human_message"": ""Reserve equivalence is 33.021 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8844270568266039, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.10557294317339605, ""human_message"": ""Critical service is 88.44%; shortage is 28.893 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.8660857201879941, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.10391427981200585, ""human_message"": ""Total service is 86.61%; shortage is 52.227 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 34.20277504810496, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 10.79722495189504, ""human_message"": ""Reserve equivalence is 34.203 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
4.0,run-2f3c894d09f965f7,False,1390.0,950.0,10594.054546644667,9664.543500667269,0.9625823017695719,0.9698134029400405,52.010600540294924,28.677267206961588,0.0,0.0,4,"[{""actual"": 16.726190476190506, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 28.273809523809494, ""human_message"": ""Reserve equivalence is 16.726 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8852909311721536, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.10470906882784636, ""human_message"": ""Critical service is 88.53%; shortage is 28.677 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.8666394857941155, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.10336051420588444, ""human_message"": ""Total service is 86.66%; shortage is 52.011 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 34.40489949433934, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 10.59510050566066, ""human_message"": ""Reserve equivalence is 34.405 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
5.0,run-841f23eded4991bc,False,1390.0,950.0,10590.828484864562,9661.492687308026,0.9627376748533041,0.9700407382941325,51.794631953907476,28.46129862057414,0.0,0.0,4,"[{""actual"": 0.4315476190476608, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 44.56845238095234, ""human_message"": ""Reserve equivalence is 0.432 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8861548055177034, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.10384519448229657, ""human_message"": ""Critical service is 88.62%; shortage is 28.461 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.8671932514002373, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.10280674859976269, ""human_message"": ""Total service is 86.72%; shortage is 51.795 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 34.60702394057375, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 10.392976059426253, ""human_message"": ""Reserve equivalence is 34.607 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
6.0,run-caa9a79257ac05cf,False,1390.0,950.0,10609.483643051466,9677.522666478371,0.962893047937036,0.9755312315429613,51.57866336752005,23.24533003418671,0.0,0.0,6,"[{""actual"": 0.986444063926941, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.0035559360730590406, ""human_message"": ""Critical service is 98.64%; shortage is 1.084 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2035"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.9391552511415527, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.030844748858447235, ""human_message"": ""Total service is 93.92%; shortage is 6.084 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2035"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9113565794066321, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.07864342059336793, ""human_message"": ""Critical service is 91.14%; shortage is 22.161 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.8833482346623709, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.08665176533762908, ""human_message"": ""Total service is 88.33%; shortage is 45.494 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 40.50359283125256, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 4.496407168747439, ""human_message"": ""Reserve equivalence is 40.504 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
7.0,run-3ee2c161c65d1976,False,1390.0,950.0,10628.731665040994,9694.087296829885,0.9630484210207679,0.97034967555876,51.362694781132674,28.167808219178063,0.0,0.0,5,"[{""actual"": 0.908319063926941, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.08168093607305904, ""human_message"": ""Critical service is 90.83%; shortage is 7.334 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2035"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.8766552511415527, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.09334474885844724, ""human_message"": ""Total service is 87.67%; shortage is 12.334 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2035"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9166666666666666, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.07333333333333336, ""human_message"": ""Critical service is 91.67%; shortage is 20.833 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.8999276412941334, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.07007235870586659, ""human_message"": ""Total service is 89.99%; shortage is 39.028 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}]"
8.0,run-e997c02b6a3e4b5e,False,1390.0,950.0,10647.59172891534,9710.282443262176,0.9632037941044996,0.9637707281903389,51.14672619474544,34.41780821917806,0.0,0.0,5,"[{""actual"": 0.830194063926941, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.15980593607305904, ""human_message"": ""Critical service is 83.02%; shortage is 13.584 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2035"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.8141552511415527, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.15584474885844724, ""human_message"": ""Total service is 81.42%; shortage is 18.584 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2035"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9166666666666666, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.07333333333333336, ""human_message"": ""Critical service is 91.67%; shortage is 20.833 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.9165070479258955, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.05349295207410443, ""human_message"": ""Total service is 91.65%; shortage is 32.562 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}]"
9.0,run-724f8c57727d561a,False,1390.0,950.0,10643.562263993874,9706.592943430553,0.9632037941044996,0.9637707281903389,51.14672619474541,34.41780821917806,0.0,0.0,5,"[{""actual"": 0.830194063926941, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.15980593607305904, ""human_message"": ""Critical service is 83.02%; shortage is 13.584 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2035"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.8141552511415527, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.15584474885844724, ""human_message"": ""Total service is 81.42%; shortage is 18.584 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2035"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9166666666666666, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.07333333333333336, ""human_message"": ""Critical service is 91.67%; shortage is 20.833 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.9165070479258958, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.053492952074104205, ""human_message"": ""Total service is 91.65%; shortage is 32.562 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}]"
