likelihood_score,impact_score,risks
1,1,[]
1,2,[]
1,3,[]
1,4,[]
1,5,[]
2,1,[]
2,2,"[{""impact_score"": 2, ""name"": ""Earth channel price shock"", ""risk_id"": ""R-EARTH-PRICE""}]"
2,3,[]
2,4,[]
2,5,[]
3,1,[]
3,2,[]
3,3,[]
3,4,[]
3,5,[]
4,1,[]
4,2,[]
4,3,[]
4,4,[]
4,5,[]
5,1,[]
5,2,[]
5,3,[]
5,4,[]
5,5,[]
UNKNOWN,5,"[{""impact_score"": 5, ""name"": ""Lunar-ISRU underdelivery"", ""risk_id"": ""R-ISRU-UNDERDELIVERY""}]"
UNKNOWN,3,"[{""impact_score"": 3, ""name"": ""Earth-Core temporary unavailability"", ""risk_id"": ""R-CORE-OUTAGE""}]"
UNKNOWN,1,"[{""impact_score"": 1, ""name"": ""Earth-New commissioning delay"", ""risk_id"": ""R-EARTH-NEW-DELAY""}]"
UNKNOWN,2,"[{""impact_score"": 2, ""name"": ""Storage degradation"", ""risk_id"": ""R-STORAGE-DEGRADATION""}]"
UNKNOWN,5,"[{""impact_score"": 5, ""name"": ""Demand upside"", ""risk_id"": ""R-DEMAND-UPSIDE""}]"
UNKNOWN,2,"[{""impact_score"": 2, ""name"": ""Launch and logistics delay"", ""risk_id"": ""R-LOGISTICS-DELAY""}]"
UNKNOWN,1,"[{""impact_score"": 1, ""name"": ""Lunar-ISRU CAPEX overrun"", ""risk_id"": ""R-CAPEX-OVERRUN""}]"
