source_id,source_name,source_status,source_provenance,year,reserved_capacity_t_per_year,active_fraction,requested_order_t,feasible_order_t,unfulfilled_request_t,planned_delivery_t,gross_delivery_t,risk_underdelivery_t,delayed_delivery_t,initial_stock_requested_t,initial_stock_feasible_t,initial_stock_gross_delivery_t,initial_stock_losses_t,initial_stock_opening_inventory_t,payable_volume_t,utilization,active_variable_price_mln_per_t,ordered_payment_mln,take_or_pay_extra_volume_t,take_or_pay_price_mln_per_t,procurement_cost_mln,reservation_cost_mln,take_or_pay_effect_mln,initial_stock_procurement_cost_mln,initial_stock_reservation_cost_mln,reliability_profile,reliability_semantics,violations
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,110.0,1.0,99.99999999999999,99.99999999999999,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,99.99999999999999,0.0,6.200000000000001,620.0,0.0,6.200000000000002,620.0,49.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,150.0,1.0,140.0,140.0,0.0,99.99999999999999,99.99999999999999,0.0,0,0.0,0.0,0.0,0.0,0.0,140.0,0.5263157894736841,6.200000000000001,868.0000000000001,0.0,6.200000000000002,868.0000000000001,67.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,170.0,1.0,160.0,160.0,0.0,140.0,140.0,0.0,0,0.0,0.0,0.0,0.0,0.0,160.0,0.7368421052631577,6.199999999999999,991.9999999999999,0.0,6.200000000000002,991.9999999999999,76.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,180.0,1.0,170.0,170.0,0.0,160.0,160.0,0.0,0,0.0,0.0,0.0,0.0,0.0,170.0,0.8421052631578946,6.200000000000001,1054.0000000000002,0.0,6.200000000000002,1054.0000000000002,81.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,190.0,1.0,180.0,180.0,0.0,170.0,170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.0,0.894736842105263,6.2,1116.0,0.0,6.200000000000002,1116.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,190.0,1.0,184.99999999999997,184.99999999999997,0.0,180.0,180.0,0.0,0,0.0,0.0,0.0,0.0,0.0,184.99999999999997,0.9473684210526314,6.200000000000001,1147.0,0.0,6.200000000000002,1147.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,50.0,1.0,24.999999999999996,24.999999999999996,0.0,16.666666666666668,16.666666666666668,0.0,0,50.0,50.0,50.0,2.25,47.75,75.0,0.15151515151515152,8.9,222.49999999999997,0.0,8.900000000000002,667.5000000000001,14.999999999999998,0.0,445.0000000000001,7.499999999999998,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,55.0,1.0,24.999999999999996,24.999999999999996,0.0,24.999999999999996,24.999999999999996,0.0,0,0.0,0.0,0.0,0.0,0.0,24.999999999999996,0.2272727272727272,8.9,222.49999999999997,0.0,8.900000000000002,222.49999999999997,8.25,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,60.0,1.0,35.0,35.0,0.0,31.66666666666667,31.66666666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,35.0,0.2878787878787879,8.9,311.5,0.0,8.900000000000002,311.5,9.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,70.0,1.0,45.0,45.0,0.0,41.666666666666664,41.666666666666664,0.0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.37878787878787873,8.9,400.5,0.0,8.900000000000002,400.5,10.5,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
