source_id,source_name,source_status,source_provenance,year,reserved_capacity_t_per_year,active_fraction,requested_order_t,feasible_order_t,unfulfilled_request_t,planned_delivery_t,gross_delivery_t,risk_underdelivery_t,delayed_delivery_t,initial_stock_requested_t,initial_stock_feasible_t,initial_stock_gross_delivery_t,initial_stock_losses_t,initial_stock_opening_inventory_t,payable_volume_t,utilization,active_variable_price_mln_per_t,ordered_payment_mln,take_or_pay_extra_volume_t,take_or_pay_price_mln_per_t,procurement_cost_mln,reservation_cost_mln,take_or_pay_effect_mln,initial_stock_procurement_cost_mln,initial_stock_reservation_cost_mln,reliability_profile,reliability_semantics,violations
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,150.0,1.0,99.99999999999999,99.99999999999999,0.0,0,0,0.0,0,45.0,45.0,45.0,2.025,42.975,150.0,0.0,6.200000000000001,620.0,5.000000000000014,6.200000000000002,930.0000000000002,87.75,31.0000000000001,279.0000000000001,20.250000000000007,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,180.0,1.0,145.0,145.0,0.0,99.99999999999999,99.99999999999999,0.0,0,0.0,0.0,0.0,0.0,0.0,145.0,0.5263157894736841,6.199999999999999,898.9999999999999,0.0,6.200000000000002,898.9999999999999,81.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,190.0,1.0,180.0,180.0,0.0,145.0,145.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.0,0.763157894736842,6.2,1116.0,0.0,6.200000000000002,1116.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,190.0,1.0,190.00000000000003,190.0,2.842170943040401e-14,180.0,180.0,0.0,0,0.0,0.0,0.0,0.0,0.0,190.00000000000003,0.9473684210526314,6.199999999999999,1178.0,0.0,6.200000000000002,1178.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,190.0,1.0,190.00000000000003,190.0,2.842170943040401e-14,190.0,190.0,0.0,0,0.0,0.0,0.0,0.0,0.0,190.00000000000003,0.9999999999999999,6.199999999999999,1178.0,0.0,6.200000000000002,1178.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,190.0,1.0,190.00000000000003,190.0,2.842170943040401e-14,190.0,190.0,0.0,0,0.0,0.0,0.0,0.0,0.0,190.00000000000003,0.9999999999999999,6.199999999999999,1178.0,0.0,6.200000000000002,1178.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,40.0,1.0,15.0,15.0,0.0,10.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0909090909090909,8.9,133.5,0.0,8.900000000000002,133.5,6.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,45.0,1.0,20.0,20.0,0.0,18.333333333333332,18.333333333333332,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.16666666666666663,8.900000000000002,178.00000000000003,0.0,8.900000000000002,178.00000000000003,6.75,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,55.0,1.0,30.0,30.0,0.0,26.666666666666668,26.666666666666668,0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,0.2424242424242424,8.9,267.0,0.0,8.900000000000002,267.0,8.25,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,90.0,1.0,75.0,75.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,75.0,0.5454545454545454,8.9,667.5,0.0,8.900000000000002,667.5,13.5,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
