scope,id,BASE,MANDATORY_STRESS,difference
summary,undiscounted_cost_mln,11824.843275,12782.503375,957.660100000001
summary,discounted_cost_mln,10250.499155430012,11057.392077617784,806.8929221877715
summary,cost_per_served_ton_mln,9.525268765162428,10.296692929189867,0.7714241640274384
summary,discounted_cost_per_served_ton_mln,8.257086978815908,8.907063622886552,0.6499766440706445
summary,total_service_level,0.8931067146282974,0.8092687961755757,-0.0838379184527217
summary,critical_service_level,0.9623070175438596,0.9657172490824956,0.003410231538635955
summary,total_shortage_t,148.5816666666668,292.5816666666667,143.99999999999991
summary,critical_shortage_t,35.80833333333334,35.80833333333334,0.0
summary,total_losses_t,14.89,14.89,0.0
summary,emergency_usage_t,89.99999999999997,89.99999999999997,0.0
summary,final_inventory_t,0.0,0.0,0.0
summary,violation_count,11,12,1
summary,hard_violation_count,11,5,-6
annual,2035,"{""base_total_service"": 0.5252500000000002, ""base_critical_service"": 0.5523958333333334, ""base_shortage_t"": 47.47500000000001, ""base_closing_inventory_t"": 0.0, ""base_losses_t"": 0.45000000000000007}","{""stress_total_service"": 0.5252500000000002, ""stress_critical_service"": 0.5523958333333334, ""stress_shortage_t"": 47.47500000000001, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 0.45000000000000007}",
annual,2036,"{""base_total_service"": 0.8350952380952381, ""base_critical_service"": 1.0, ""base_shortage_t"": 23.086666666666652, ""base_closing_inventory_t"": 0.0, ""base_losses_t"": 1.4200000000000004}","{""stress_total_service"": 0.8350952380952381, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 23.086666666666652, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 1.4200000000000004}",
annual,2037,"{""base_total_service"": 0.8926666666666665, ""base_critical_service"": 1.0, ""base_shortage_t"": 20.393333333333338, ""base_closing_inventory_t"": 0.0, ""base_losses_t"": 2.06}","{""stress_total_service"": 0.8926666666666665, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 20.393333333333338, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 2.06}",
annual,2038,"{""base_total_service"": 0.9663599999999998, ""base_critical_service"": 1.0, ""base_shortage_t"": 8.409999999999997, ""base_closing_inventory_t"": 24.346666666666692, ""base_losses_t"": 3.2300000000000004}","{""stress_total_service"": 0.9249971014492752, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 21.563333333333304, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 3.2300000000000004}",
annual,2039,"{""base_total_service"": 1.0000000000000002, ""base_critical_service"": 1.0, ""base_shortage_t"": 0.0, ""base_closing_inventory_t"": 36.97333333333327, ""base_losses_t"": 4.04}","{""stress_total_service"": 0.9038768115942026, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 35.37333333333339, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 4.04}",
annual,2040,"{""base_total_service"": 0.8738034188034186, ""base_critical_service"": 1.0, ""base_shortage_t"": 49.216666666666775, ""base_closing_inventory_t"": 0.0, ""base_losses_t"": 3.689999999999999}","{""stress_total_service"": 0.677391304347826, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 144.69, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 3.689999999999999}",
