source_id,source_name,source_status,source_provenance,year,reserved_capacity_t_per_year,active_fraction,requested_order_t,feasible_order_t,unfulfilled_request_t,planned_delivery_t,gross_delivery_t,risk_underdelivery_t,delayed_delivery_t,initial_stock_requested_t,initial_stock_feasible_t,initial_stock_gross_delivery_t,initial_stock_losses_t,initial_stock_opening_inventory_t,payable_volume_t,utilization,active_variable_price_mln_per_t,ordered_payment_mln,take_or_pay_extra_volume_t,take_or_pay_price_mln_per_t,procurement_cost_mln,reservation_cost_mln,take_or_pay_effect_mln,initial_stock_procurement_cost_mln,initial_stock_reservation_cost_mln,reliability_profile,reliability_semantics,violations
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,110.0,1.0,95.00000000000001,95.00000000000001,0.0,0,0,0.0,0,50.0,50.0,50.0,2.25,47.75,165.0,0.0,6.199999999999999,589.0,0.0,6.200000000000002,1023.0000000000001,94.50000000000001,124.0,434.0000000000001,45.000000000000014,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,150.0,1.0,140.0,140.0,0.0,95.00000000000001,95.00000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,140.0,0.5,6.200000000000001,868.0000000000001,0.0,6.200000000000002,868.0000000000001,67.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,180.0,1.0,170.0,170.0,0.0,140.0,140.0,0.0,0,0.0,0.0,0.0,0.0,0.0,170.0,0.7368421052631577,6.200000000000001,1054.0000000000002,0.0,6.200000000000002,1054.0000000000002,81.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,190.0,1.0,180.0,180.0,0.0,170.0,170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.0,0.894736842105263,7.75,1395.0,0.0,7.75,1395.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,190.0,1.0,184.99999999999997,184.99999999999997,0.0,180.0,180.0,0.0,0,0.0,0.0,0.0,0.0,0.0,184.99999999999997,0.9473684210526314,7.750000000000001,1433.75,0.0,7.75,1433.75,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,190.0,1.0,190.00000000000003,190.0,2.842170943040401e-14,184.99999999999997,184.99999999999997,0.0,0,0.0,0.0,0.0,0.0,0.0,190.00000000000003,0.9736842105263155,6.199999999999999,1178.0,0.0,6.200000000000002,1178.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,40.0,1.0,20.0,20.0,0.0,13.333333333333332,13.333333333333332,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.12121212121212119,8.900000000000002,178.00000000000003,0.0,8.900000000000002,178.00000000000003,6.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,45.0,1.0,24.999999999999996,24.999999999999996,0.0,23.333333333333332,23.333333333333332,0.0,0,0.0,0.0,0.0,0.0,0.0,24.999999999999996,0.21212121212121207,8.9,222.49999999999997,0.0,8.900000000000002,222.49999999999997,6.75,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,55.0,1.0,30.0,30.0,0.0,28.333333333333336,28.333333333333336,0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,0.25757575757575757,8.9,267.0,0.0,8.900000000000002,267.0,8.25,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,80.0,1.0,55.00000000000001,55.00000000000001,0.0,46.66666666666667,46.66666666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,55.00000000000001,0.42424242424242425,11.124999999999996,611.8749999999999,0.0,11.125,611.8749999999999,12.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,110.0,1.0,99.99999999999999,99.99999999999999,0.0,85.0,85.0,0.0,0,0.0,0.0,0.0,0.0,0.0,99.99999999999999,0.7727272727272726,11.125000000000004,1112.5000000000002,0.0,11.125,1112.5000000000002,16.5,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,110.0,1.0,110.00000000000001,110.0,1.4210854715202004e-14,106.66666666666663,106.66666666666663,0.0,0,0.0,0.0,0.0,0.0,0.0,110.00000000000001,0.9696969696969693,8.9,979.0000000000001,0.0,8.900000000000002,979.0000000000001,16.5,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
