source_id,source_name,source_status,source_provenance,year,reserved_capacity_t_per_year,active_fraction,requested_order_t,feasible_order_t,unfulfilled_request_t,planned_delivery_t,gross_delivery_t,risk_underdelivery_t,delayed_delivery_t,initial_stock_requested_t,initial_stock_feasible_t,initial_stock_gross_delivery_t,initial_stock_losses_t,initial_stock_opening_inventory_t,payable_volume_t,utilization,active_variable_price_mln_per_t,ordered_payment_mln,take_or_pay_extra_volume_t,take_or_pay_price_mln_per_t,procurement_cost_mln,reservation_cost_mln,take_or_pay_effect_mln,initial_stock_procurement_cost_mln,initial_stock_reservation_cost_mln,reliability_profile,reliability_semantics,violations
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,100.0,1.0,90.0,90.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,6.2,558.0,0.0,6.200000000000002,558.0,45.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,140.0,1.0,129.99999999999997,129.99999999999997,0.0,90.0,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129.99999999999997,0.4736842105263157,6.2,805.9999999999999,0.0,6.200000000000002,805.9999999999999,63.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,180.0,1.0,170.0,170.0,0.0,129.99999999999997,129.99999999999997,0.0,0,0.0,0.0,0.0,0.0,0.0,170.0,0.6842105263157893,6.200000000000001,1054.0000000000002,0.0,6.200000000000002,1054.0000000000002,81.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,190.0,1.0,180.0,180.0,0.0,170.0,170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.0,0.894736842105263,7.75,1395.0,0.0,7.75,1395.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,190.0,1.0,184.99999999999997,184.99999999999997,0.0,180.0,180.0,0.0,0,0.0,0.0,0.0,0.0,0.0,184.99999999999997,0.9473684210526314,7.750000000000001,1433.75,0.0,7.75,1433.75,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,190.0,1.0,190.00000000000003,190.0,2.842170943040401e-14,184.99999999999997,184.99999999999997,0.0,0,0.0,0.0,0.0,0.0,0.0,190.00000000000003,0.9736842105263155,6.199999999999999,1178.0,0.0,6.200000000000002,1178.0,85.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,60.0,1.0,35.0,35.0,0.0,23.333333333333336,23.333333333333336,0.0,0,0.0,0.0,0.0,0.0,0.0,35.0,0.21212121212121213,8.9,311.5,0.0,8.900000000000002,311.5,9.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,55.0,1.0,35.0,35.0,0.0,35.0,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,35.0,0.3181818181818181,8.9,311.5,0.0,8.900000000000002,311.5,8.25,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,60.0,1.0,40.0,40.0,0.0,38.33333333333333,38.33333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,40.0,0.3484848484848484,8.900000000000002,356.00000000000006,0.0,8.900000000000002,356.00000000000006,9.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,70.0,1.0,45.0,45.0,0.0,43.333333333333336,43.333333333333336,0.0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.3939393939393939,11.125,500.625,0.0,11.125,500.625,10.5,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,80.0,1.0,55.00000000000001,55.00000000000001,0.0,51.66666666666667,51.66666666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,55.00000000000001,0.46969696969696967,11.124999999999996,611.8749999999999,0.0,11.125,611.8749999999999,12.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,100.0,1.0,85.0,85.0,0.0,75.0,75.0,0.0,0,0.0,0.0,0.0,0.0,0.0,85.0,0.6818181818181818,8.899999999999999,756.4999999999999,0.0,8.900000000000002,756.4999999999999,15.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
C,Earth-New,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
D,Lunar-ISRU,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,0,0.0,0.0,0.0,0.0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0,0.0,0.0,120.0,0.0,0.0,120.0,0.0,2038:0.78;2039:0.90;2040:0.93,METADATA_ONLY,[]
D,Lunar-ISRU,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,METADATA_ONLY,[]
D,Lunar-ISRU,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,METADATA_ONLY,[]
