source_id,source_name,year,reserved_capacity_t_per_year,active_fraction,ordered_t,eligible_ordered_t,rejected_ordered_t,planned_delivered_t,actual_delivered_t,initial_inventory_procured_t,payable_volume_t,utilization,active_variable_price_mln_per_t,procurement_cost_mln,reservation_cost_mln,take_or_pay_effect_mln,reliability_profile,violations
A,Earth-Core,2035,120.0,1.0,120.0,120.0,0.0,0,0,60.0,180.0,0.0,6.2,1116.0,54.0,0.0,constant:0.96,[]
A,Earth-Core,2036,150.0,1.0,150.0,150.0,0.0,120.0,120.0,0.0,150.0,0.631578947368421,6.2,930.0,67.5,0.0,constant:0.96,[]
A,Earth-Core,2037,160.0,1.0,160.0,160.0,0.0,150.0,150.0,0.0,160.0,0.7894736842105263,6.2,992.0,72.0,0.0,constant:0.96,[]
A,Earth-Core,2038,170.0,1.0,170.0,170.0,0.0,160.0,160.0,0.0,170.0,0.8421052631578947,7.75,1317.5,76.5,0.0,constant:0.96,[]
A,Earth-Core,2039,180.0,1.0,180.0,180.0,0.0,170.0,170.0,0.0,180.0,0.8947368421052632,7.75,1395.0,81.0,0.0,constant:0.96,[]
A,Earth-Core,2040,0,1.0,0.0,0.0,0.0,180.0,180.0,0.0,0.0,0.9473684210526315,6.2,0.0,0.0,0.0,constant:0.96,[]
B,Earth-Flex,2035,90.0,1.0,90.0,90.0,0.0,60.0,60.0,0.0,90.0,0.5454545454545454,8.9,801.0,13.5,0.0,constant:0.985,[]
B,Earth-Flex,2036,5.0,1.0,5.0,5.0,0.0,33.33333333333333,33.33333333333333,0.0,5.0,0.303030303030303,8.9,44.5,0.75,0.0,constant:0.985,[]
B,Earth-Flex,2037,0,1.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.015151515151515152,8.9,0.0,0.0,0.0,constant:0.985,[]
B,Earth-Flex,2038,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11.125,0.0,0.0,0.0,constant:0.985,[]
B,Earth-Flex,2039,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11.125,0.0,0.0,0.0,constant:0.985,[]
B,Earth-Flex,2040,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,constant:0.985,[]
C,Earth-New,2035,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,[]
C,Earth-New,2036,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,[]
C,Earth-New,2037,60.0,0.9166666666666666,47.99999999960001,47.99999999960001,0.0,47.99999999960001,47.99999999960001,0.0,47.99999999960001,0.40279720279384623,7.1,340.79999999716006,16.5,0.0,first_operating_year:0.88;later:0.94,[]
C,Earth-New,2038,60.0,1.0,60.0,60.0,0.0,60.0,60.0,0.0,60.0,0.46153846153846156,7.1,426.0,18.0,0.0,first_operating_year:0.88;later:0.94,[]
C,Earth-New,2039,80.0,1.0,80.00000000040001,80.0,4.00007138523506e-10,80.0,80.0,0.0,80.00000000040001,0.6153846153846154,7.1,568.00000000284,24.0,0.0,first_operating_year:0.88;later:0.94,[]
C,Earth-New,2040,100.0,1.0,99.99999999960004,99.99999999960004,0.0,99.99999999960004,99.99999999960004,0.0,99.99999999960004,0.7692307692276926,7.1,709.9999999971602,30.0,0.0,first_operating_year:0.88;later:0.94,[]
D,Lunar-ISRU,2035,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,[]
D,Lunar-ISRU,2036,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,[]
D,Lunar-ISRU,2037,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,[]
D,Lunar-ISRU,2038,50.2,1.0,50.20000000000002,50.2,1.4210854715202004e-14,41.83333333333331,23.00833333333333,0.0,50.20000000000002,0.19173611111111108,3.0,150.60000000000005,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,[]
D,Lunar-ISRU,2039,89.3,1.0,89.29999999999997,89.29999999999997,0.0,82.7833333333333,62.087499999999984,0.0,89.29999999999997,0.5173958333333332,3.0,267.8999999999999,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,[]
D,Lunar-ISRU,2040,110.0,1.0,110.00000000000001,110.0,1.4210854715202004e-14,106.54999999999995,106.54999999999995,0.0,110.00000000000001,0.8879166666666662,3.0,330.00000000000006,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,[]
E,Emergency,2035,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,constant:0.995,[]
E,Emergency,2036,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,constant:0.995,[]
E,Emergency,2037,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,constant:0.995,[]
E,Emergency,2038,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,constant:0.995,[]
E,Emergency,2039,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,constant:0.995,[]
E,Emergency,2040,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,constant:0.995,[]
