value,run_id,valid,total_demand_t,critical_demand_t,total_cost_mln,discounted_cost_mln,total_service_level,critical_service_level,total_shortage_t,critical_shortage_t,minimum_inventory_t,final_inventory_t,hard_violation_count,violations
1.0,run-737ce6dff04f5652,True,1390.0,950.0,11567.703787807655,10480.757934894153,1.0,1.0,0.0,0.0,17.300000000009504,45.45666666588559,0,[]
1.01,run-9c2a93da04420464,False,1403.8999999999999,950.0,11545.059787807655,10461.875406758829,1.0000000000000002,1.0,0.0,0.0,16.30000000000948,31.556666665885768,3,"[{""actual"": 42.075671852924046, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 2.924328147075954, ""human_message"": ""Reserve equivalence is 42.076 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 42.8641604781123, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 2.1358395218877035, ""human_message"": ""Reserve equivalence is 42.864 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 40.3503994242004, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 4.649600575799603, ""human_message"": ""Reserve equivalence is 40.350 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.02,run-c08b44b3418ea9b0,False,1417.8,950.0,11522.415787807655,10442.992878623507,1.0,1.0,0.0,0.0,15.300000000009511,17.65666666588568,4,"[{""actual"": 39.10714285716716, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 5.892857142832838, ""human_message"": ""Reserve equivalence is 39.107 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 39.311215685722416, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 5.688784314277584, ""human_message"": ""Reserve equivalence is 39.311 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 34.83975694401311, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 10.16024305598689, ""human_message"": ""Reserve equivalence is 34.840 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 30.779342215164718, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 14.220657784835282, ""human_message"": ""Reserve equivalence is 30.779 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.03,run-fed0931cdc32b596,False,1431.7,950.0,11499.771787807655,10424.110350488183,1.0,1.0,0.0,0.0,3.7566666658856604,3.7566666658856604,5,"[{""actual"": 36.196255201133624, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 8.803744798866376, ""human_message"": ""Reserve equivalence is 36.196 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 40.27371827629091, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 4.726281723709093, ""human_message"": ""Reserve equivalence is 40.274 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2037-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 32.834407766443576, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 12.165592233556424, ""human_message"": ""Reserve equivalence is 32.834 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 26.971167070770335, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 18.028832929229665, ""human_message"": ""Reserve equivalence is 26.971 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 21.394130777178354, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 23.605869222821646, ""human_message"": ""Reserve equivalence is 21.394 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.04,run-20796cf3d42b0701,False,1445.6000000000001,950.0,11478.954287807917,10406.658932896122,0.9929833056626214,1.0,10.143333334114395,0.0,0.0,0.0,5,"[{""actual"": 33.34134615386992, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 11.658653846130079, ""human_message"": ""Reserve equivalence is 33.341 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 35.453272604605885, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 9.546727395394115, ""human_message"": ""Reserve equivalence is 35.453 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2037-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 26.482153845612384, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 18.517846154387616, ""human_message"": ""Reserve equivalence is 26.482 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 19.253896233551348, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 25.746103766448652, ""human_message"": ""Reserve equivalence is 19.254 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 12.189404174537824, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 32.81059582546217, ""human_message"": ""Reserve equivalence is 12.189 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.05,run-92a4ddaa56b400e8,False,1459.5,950.0,11462.992029808063,10393.011724455504,0.983526321799168,1.0,24.043333334114312,0.0,0.0,0.0,6,"[{""actual"": 30.54081632655423, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 14.459183673445771, ""human_message"": ""Reserve equivalence is 30.541 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 30.724644945714935, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 14.275355054285065, ""human_message"": ""Reserve equivalence is 30.725 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2037-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 20.250895237558936, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 24.749104762441064, ""human_message"": ""Reserve equivalence is 20.251 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 11.683621031327078, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 33.31637896867292, ""human_message"": ""Reserve equivalence is 11.684 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9412861212842144, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.028713878715785568, ""human_message"": ""Total service is 94.13%; shortage is 24.043 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 3.1600056976619113, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 41.83999430233809, ""human_message"": ""Reserve equivalence is 3.160 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.06,run-135ba1f61faca0b9,False,1473.4,950.0,11451.819963808319,10383.234278569824,0.9742477715935154,1.0,37.94333333411442,0.0,0.0,0.0,6,"[{""actual"": 27.793126684659487, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 17.206873315340513, ""human_message"": ""Reserve equivalence is 27.793 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 26.08523667661433, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 18.91476332338567, ""human_message"": ""Reserve equivalence is 26.085 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2037-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 14.137207546638521, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 30.86279245336148, ""human_message"": ""Reserve equivalence is 14.137 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 4.256181210276777, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 40.74381878972322, ""human_message"": ""Reserve equivalence is 4.256 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9238301886782895, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.0461698113217105, ""human_message"": ""Total service is 92.38%; shortage is 31.489 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.07,run-3495d67b81d963c9,False,1487.3,950.0,11445.327975808596,10377.370561908796,0.9651426522328285,1.0,51.8433333341144,0.0,0.0,0.0,7,"[{""actual"": 25.096795727659945, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 19.903204272340055, ""human_message"": ""Reserve equivalence is 25.097 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 21.532546319085654, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 23.467453680914346, ""human_message"": ""Reserve equivalence is 21.533 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2037-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 8.137794391997028, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 36.862205608002974, ""human_message"": ""Reserve equivalence is 8.138 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9602509735202489, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.009749026479751066, ""human_message"": ""Total service is 96.03%; shortage is 13.610 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2039"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9151962616812961, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.05480373831870389, ""human_message"": ""Total service is 91.52%; shortage is 35.389 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.08,run-79c4754c06942951,False,1501.2,950.0,11441.095835808619,10373.453105910543,0.9562061461936355,1.0,65.7433333341144,0.0,0.0,0.0,8,"[{""actual"": 22.450396825419787, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 22.549603174580213, ""human_message"": ""Reserve equivalence is 22.450 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 17.064165042252068, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 27.935834957747932, ""human_message"": ""Reserve equivalence is 17.064 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2037-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9642790123442505, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.0057209876557494654, ""human_message"": ""Total service is 96.43%; shortage is 9.645 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2038"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 2.2494814809600308, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 42.75051851903997, ""human_message"": ""Reserve equivalence is 2.249 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9513597608024688, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.018640239197531216, ""human_message"": ""Total service is 95.14%; shortage is 16.810 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2039"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9067222222212837, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.06327777777871624, ""human_message"": ""Total service is 90.67%; shortage is 39.289 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
1.09,run-d487bc60626e4bb6,False,1515.1000000000001,950.0,11437.403399445078,10370.017133828289,0.9474336127423177,1.0,79.64333333411443,0.0,0.0,0.0,8,"[{""actual"": 19.852555701202284, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 25.147444298797716, ""human_message"": ""Reserve equivalence is 19.853 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2036-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 12.677772412699754, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 32.32222758730025, ""human_message"": ""Reserve equivalence is 12.678 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2037-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.949325993883792, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.020674006116207955, ""human_message"": ""Total service is 94.93%; shortage is 13.809 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2038"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9426316896024464, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.027368310397553608, ""human_message"": ""Total service is 94.26%; shortage is 20.010 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2039"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8984036697238408, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.07159633027615919, ""human_message"": ""Total service is 89.84%; shortage is 43.189 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]"
