likelihood_score,impact_score,risks
1,1,[]
1,2,[]
1,3,[]
1,4,[]
1,5,[]
2,1,[]
2,2,"[{""impact_score"": 2, ""name"": ""Earth channel price shock"", ""risk_id"": ""R-EARTH-PRICE""}]"
2,3,[]
2,4,[]
2,5,[]
3,1,[]
3,2,[]
3,3,[]
3,4,[]
3,5,[]
4,1,[]
4,2,[]
4,3,[]
4,4,[]
4,5,[]
5,1,[]
5,2,[]
5,3,[]
5,4,[]
5,5,[]
UNKNOWN,5,"[{""impact_score"": 5, ""name"": ""Lunar-ISRU underdelivery"", ""risk_id"": ""R-ISRU-UNDERDELIVERY""}]"
UNKNOWN,5,"[{""impact_score"": 5, ""name"": ""Earth-Core temporary unavailability"", ""risk_id"": ""R-CORE-OUTAGE""}]"
