source_id,source_name,source_status,source_provenance,year,reserved_capacity_t_per_year,active_fraction,requested_order_t,feasible_order_t,unfulfilled_request_t,planned_delivery_t,gross_delivery_t,risk_underdelivery_t,delayed_delivery_t,initial_stock_requested_t,initial_stock_feasible_t,initial_stock_gross_delivery_t,initial_stock_losses_t,initial_stock_opening_inventory_t,payable_volume_t,utilization,active_variable_price_mln_per_t,ordered_payment_mln,take_or_pay_extra_volume_t,take_or_pay_price_mln_per_t,procurement_cost_mln,reservation_cost_mln,take_or_pay_effect_mln,initial_stock_procurement_cost_mln,initial_stock_reservation_cost_mln,reliability_profile,reliability_semantics,violations
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,120.0,1.0,120.0,120.0,0.0,0,0,0.0,0,62.8272251309,62.8272251309,62.8272251309,2.8272251308904996,60.0000000000095,182.8272251309,0.0,6.2,744.0,0.0,6.200000000000002,1133.52879581158,82.35000000000001,0.0,389.5287958115801,28.35000000000001,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,150.0,1.0,150.0,150.0,0.0,120.0,120.0,0.0,0,0.0,0.0,0.0,0.0,0.0,150.0,0.6315789473684209,6.2,930.0,0.0,6.200000000000002,930.0,67.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,160.0,1.0,160.0,160.0,0.0,150.0,150.0,0.0,0,0.0,0.0,0.0,0.0,0.0,160.0,0.7894736842105262,6.199999999999999,991.9999999999999,0.0,6.200000000000002,991.9999999999999,72.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,170.0,1.0,170.0,170.0,0.0,160.0,160.0,0.0,0,0.0,0.0,0.0,0.0,0.0,170.0,0.8421052631578946,6.200000000000001,1054.0000000000002,0.0,6.200000000000002,1054.0000000000002,76.5,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,180.0,1.0,180.0,180.0,0.0,170.0,170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.0,0.894736842105263,6.2,1116.0,0.0,6.200000000000002,1116.0,81.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2040,0,1.0,0.0,0.0,0.0,180.0,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526314,6.200000000000002,0,0.0,6.200000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2035,90.0,1.0,90.0,90.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,90.0,0.5454545454545454,8.9,801.0,0.0,8.900000000000002,801.0,13.5,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2036,5.0,1.0,5.0,5.0,0.0,33.33333333333333,33.33333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.3030303030303029,8.900000000000002,44.50000000000001,0.0,8.900000000000002,44.50000000000001,0.75,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2037,0,1.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01515151515151515,8.900000000000002,0,0.0,8.900000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2038,0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000002,0,0.0,8.900000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE"", ""source"": ""data/supply_sources.csv"", ""status"": ""CASE_INPUT""}",2039,0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000002,0,0.0,8.900000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
